Fiscal Year,Category,Type,Scope,Description,Emissions,Emission Category
2019,Product life cycle emissions,Carbon removals,Unknown,Product carbon offsets,0,Low
2018,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",42840,High
2018,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,11110,High
2018,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3490,High
2018,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,8730,High
2018,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",0,Low
2018,Corporate emissions,Gross emissions,Scope 3,Business travel,337000,High
2018,Corporate emissions,Gross emissions,Scope 3,Employee commute,183000,High
2018,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,0,Low
2018,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),0,Low
2018,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0,Low
2018,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0,Low
2018,Corporate emissions,Carbon removals,Unknown,Corporate carbon offsets,0,Low
2018,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),18500000,High
2018,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1300000,High
2018,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4700000,High
2018,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,50000,High
2018,Product life cycle emissions,Carbon removals,Unknown,Product carbon offsets,0,Low
2017,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",36210,High
2017,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,8300,High
2017,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),2540,High
2017,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,36250,High
2017,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",1156,High
2017,Corporate emissions,Gross emissions,Scope 3,Business travel,121000,High
